scenario,controller,seed,RT,RT_norm,Overshoot,RI,NDR,ControlEffort,PerfMean,PerfStd,StabilityPost,Retention,AdaptSpeed,MemStability
adversarial_coupling,arc_v3_pid_meta,11,100.0,1.0,0.20912620948809646,0.0,0.0,2.073752079429244,0.9014979417692368,0.11245530175466176,0.11245530175466176,1.0,0.0,0.8211424164227556
adversarial_coupling,arc_v3_pid_meta,12,100.0,1.0,0.209456692871683,0.0,0.0,2.074947747177789,0.9020850668109025,0.11154505354459075,0.11154505354459075,1.0,0.0,0.8193130368338073
adversarial_coupling,arc_v3_pid_meta,13,100.0,1.0,0.20894337843809885,0.0,0.0,2.073295809165358,0.9026985014160758,0.11143380934685408,0.11143380934685408,1.0,0.0,0.8226169382661576
adversarial_coupling,arc_v3_pid_meta,14,100.0,1.0,0.20777940109402981,0.0,0.0,2.073196323642094,0.901248794670858,0.11225421710686492,0.11225421710686492,1.0,0.0,0.8190919365851073
adversarial_coupling,arc_v3_pid_meta,15,100.0,1.0,0.2085330131041372,0.0,0.0,2.0746707208376973,0.9004622181025302,0.11315497960504274,0.11315497960504274,1.0,0.0,0.8223349659155672
adversarial_coupling,arc_v3_pid_meta,16,100.0,1.0,0.2075733275072873,0.0,0.0,2.0724988754526548,0.90252384946539,0.11117013137871092,0.11117013137871092,1.0,0.0,0.8199027907037142
adversarial_coupling,arc_v3_pid_meta,17,100.0,1.0,0.20840272871615928,0.0,0.0,2.075165327713775,0.900615714068097,0.11354114416253426,0.11354114416253426,1.0,0.0,0.8206816052602293
adversarial_coupling,arc_v3_pid_meta,18,100.0,1.0,0.20881594550443094,0.0,0.0,2.0746857866340465,0.9020022639413054,0.11124652424880048,0.11124652424880048,1.0,0.0,0.8178451624157108
adversarial_coupling,arc_v3_pid_meta,19,100.0,1.0,0.2088307245555544,0.0,0.0,2.0735631998660575,0.9018605358948759,0.1124925699534644,0.1124925699534644,1.0,0.0,0.8202200165485232
adversarial_coupling,arc_v3_pid_meta,20,100.0,1.0,0.2087566171740337,0.0,0.0,2.0735374210892212,0.8998215721199735,0.11454617200916213,0.11454617200916213,1.0,0.0,0.8237157698226013
adversarial_coupling,arc_v3_lqr_meta,1,100.0,1.0,0.2501376110627562,1.4812500000000002,0.4779874213836478,1.1053923066121247,0.936666925142114,0.1068568176143926,0.1068568176143926,0.9948143084527851,0.0,0.8655195012935448
