arc_high_arousal_ratio,arc_k_mem_block,arc_max_arousal,arc_mean_arousal,arc_mean_risk,arc_mean_risk_memory,arc_mean_u_mem,arc_mean_uncertainty,arc_mean_valence,arc_min_u_mem,arc_shift_active_ratio,arc_shift_mem_gate_floor,condition,env,final_reward_mean,final_reward_std,replay_last_shift_active,replay_last_u_mem,replay_n_added,replay_n_skipped,replay_recent_sample_calls,replay_recent_sample_ratio,replay_sample_calls,replay_skipped_ratio,replay_u_mem_threshold,seed,success_rate,timesteps
,,,,,,,,,,,,baseline,forgetting,136.4,12.163058825805292,,,,,,,,,,0,0.0,50000
0.17180205748082653,1.0,0.5937996556234019,0.5413320490055697,0.05162229255641763,0.05162229255641763,0.9483777074435824,0.1235277750940259,0.9919954548713146,0.7945270388764097,0.04828562302715718,0.2,arc_plasticity,forgetting,134.2,5.316013544000804,0.0,0.96,50000.0,0.0,443.0,0.03616326530612245,12250.0,0.0,0.5,0,0.0,50000
,,,,,,,,,,,,baseline,forgetting,184.0,22.55881202545914,,,,,,,,,,1,0.175,50000
0.14934846887188896,1.0,0.5888444950771312,0.5380591602121744,0.05119325296590721,0.05119325296590721,0.9488067470340928,0.1230542996441921,0.9913050147316294,0.7887144365425097,0.048518832646115624,0.2,arc_plasticity,forgetting,185.85,13.606156694673187,0.0,0.96,50000.0,0.0,508.0,0.04146938775510204,12250.0,0.0,0.5,1,0.175,50000
,,,,,,,,,,,,baseline,forgetting,204.65,26.002451807473847,,,,,,,,,,2,0.275,50000
0.15305550993782335,1.0,0.5964953407717186,0.5415821212786143,0.05125892817415227,0.05125892817415227,0.9487410718258479,0.12346787187162986,0.9917208089625222,0.7667003674481954,0.04725420883083257,0.2,arc_plasticity,forgetting,180.75,38.15478344847471,0.0,0.96,50000.0,0.0,378.0,0.030857142857142857,12250.0,0.0,0.5,2,0.275,50000
,,,,,,,,,,,,baseline,forgetting,235.1,69.16494776980606,,,,,,,,,,3,0.7,50000
0.14015029524567826,1.0,0.6022446977429255,0.5468347417995411,0.05053099738158406,0.05053099738158406,0.9494690026184159,0.12141861647573583,0.9939913495969392,0.7620018943414645,0.04807300793917996,0.2,arc_plasticity,forgetting,203.2,29.267046314925597,0.0,0.96,50000.0,0.0,575.0,0.04693877551020408,12250.0,0.0,0.5,3,0.525,50000
,,,,,,,,,,,,baseline,forgetting,206.95,11.538955758646447,,,,,,,,,,4,0.45,50000
0.134171774818361,1.0,0.5866450849182802,0.5354888197223335,0.05111019325060491,0.05111019325060491,0.9488898067493953,0.1231907202693236,0.9905748667551242,0.798167756811012,0.049069373942470386,0.2,arc_plasticity,forgetting,177.65,55.329264408629186,0.0,0.96,50000.0,0.0,531.0,0.043346938775510206,12250.0,0.0,0.5,4,0.2,50000
,,,,,,,,,,,,baseline,forgetting,232.0,49.07341439109368,,,,,,,,,,5,0.8,50000
0.1475990767384852,1.0,0.5981236035465181,0.5459149899995155,0.05116422578061498,0.05116422578061498,0.9488357742193851,0.12294024491709016,0.9931979611527977,0.7746792228079258,0.048081011676069804,0.2,arc_plasticity,forgetting,242.3,39.84733366236692,0.0,0.96,50000.0,0.0,517.0,0.04220408163265306,12250.0,0.0,0.5,5,0.575,50000
,,,,,,,,,,,,baseline,forgetting,181.5,18.540496217739157,,,,,,,,,,6,0.05,50000
0.1586579423014522,1.0,0.5956180878030071,0.5451629400229683,0.05116485228527226,0.05116485228527226,0.9488351477147278,0.12291670861041755,0.9926926979962093,0.7701855738334431,0.04950636714837602,0.2,arc_plasticity,forgetting,132.8,8.034923770640267,0.0,0.96,50000.0,0.0,507.0,0.04138775510204082,12250.0,0.0,0.5,6,0.0,50000
,,,,,,,,,,,,baseline,forgetting,157.2,20.788458336298053,,,,,,,,,,7,0.025,50000
0.15468780997923806,1.0,0.58990425850654,0.5365929457289947,0.050712325903586875,0.050712325903586875,0.9492876740964133,0.12177853335389682,0.9913819749563982,0.7864172829984419,0.049349075011286554,0.2,arc_plasticity,forgetting,146.6,12.796093153771585,0.0,0.96,50000.0,0.0,532.0,0.04342857142857143,12250.0,0.0,0.5,7,0.0,50000
,,,,,,,,,,,,baseline,forgetting,123.95,4.96462485994662,,,,,,,,,,8,0.0,50000
0.17305375673880752,1.0,0.6015264561742637,0.5470046133423144,0.052126700230399635,0.052126700230399635,0.9478732997696006,0.12522655241591227,0.9920748614279638,0.7652003417137034,0.04852686308492201,0.2,arc_plasticity,forgetting,90.5,17.40545891380058,0.0,0.96,50000.0,0.0,452.0,0.036897959183673466,12250.0,0.0,0.5,8,0.0,50000
,,,,,,,,,,,,baseline,forgetting,342.45,14.385669953116539,,,,,,,,,,9,1.0,50000
0.19986329528374405,1.0,0.6085948730089178,0.5509662618424733,0.054991255523063276,0.054991255523063276,0.9450087444769367,0.13141787456692133,0.9911719938773603,0.7492032173626217,0.049098931367936985,0.2,arc_plasticity,forgetting,167.15,37.12313968402996,0.0,0.96,50000.0,0.0,502.0,0.04097959183673469,12250.0,0.0,0.5,9,0.0,50000
