agent,env,episode,reward_mean,reward_std,success_rate,n_seeds
ql_baseline,GridWorld,135,0.9259999999999999,0.007999999999999962,1.0,20
ql_baseline,GridWorld,136,0.9254999999999999,0.00920597631976095,1.0,20
ql_baseline,GridWorld,137,0.9259999999999999,0.0073484692283494945,1.0,20
ql_baseline,GridWorld,138,0.9279999999999999,0.0059999999999999715,1.0,20
ql_baseline,GridWorld,139,0.9259999999999999,0.010198039027185541,1.0,20
ql_baseline,GridWorld,140,0.8995,0.1103845550790508,1.0,20
ql_baseline,GridWorld,141,0.8780000000000001,0.14948578527739687,1.0,20
ql_baseline,GridWorld,142,0.901,0.11058480908334564,1.0,20
ql_baseline,GridWorld,143,0.9244999999999999,0.011608186766243868,1.0,20
ql_baseline,GridWorld,144,0.9029999999999999,0.10640018796975878,1.0,20
ql_baseline,GridWorld,145,0.9244999999999999,0.008645808232895251,1.0,20
ql_baseline,GridWorld,146,0.9295,0.0021794494717703146,1.0,20
ql_baseline,GridWorld,147,0.9285,0.0047696960070847,1.0,20
ql_baseline,GridWorld,148,0.8775000000000001,0.14959528735892716,1.0,20
ql_baseline,GridWorld,149,0.9219999999999999,0.018330302779823338,1.0,20
ql_baseline,GridWorld,150,0.9289999999999999,0.0043588989435406535,1.0,20
ql_baseline,GridWorld,151,0.9004999999999999,0.11521610130532974,1.0,20
ql_baseline,GridWorld,152,0.8995000000000001,0.11706728834307217,1.0,20
ql_baseline,GridWorld,153,0.8985,0.10612610423453789,1.0,20
ql_baseline,GridWorld,154,0.9264999999999999,0.007262919523166937,1.0,20
ql_baseline,GridWorld,155,0.9265000000000001,0.007262919523166938,1.0,20
ql_baseline,GridWorld,156,0.9299999999999999,0.0,1.0,20
ql_baseline,GridWorld,157,0.9269999999999999,0.0071414284285428176,1.0,20
ql_baseline,GridWorld,158,0.8985,0.11033018625924639,1.0,20
ql_baseline,GridWorld,159,0.9014999999999999,0.11069214064241419,1.0,20
ql_baseline,GridWorld,160,0.8960000000000001,0.11033585092797356,1.0,20
ql_baseline,GridWorld,161,0.9275,0.0076648548583779195,1.0,20
ql_baseline,GridWorld,162,0.9275,0.006224949798994334,1.0,20
ql_baseline,GridWorld,163,0.9259999999999999,0.010198039027185541,1.0,20
ql_baseline,GridWorld,164,0.9229999999999998,0.008999999999999956,1.0,20
ql_baseline,GridWorld,165,0.9229999999999998,0.01268857754044949,1.0,20
ql_baseline,GridWorld,166,0.9264999999999999,0.008529361054615959,1.0,20
ql_baseline,GridWorld,167,0.9019999999999999,0.10623558725775464,1.0,20
ql_baseline,GridWorld,168,0.923,0.01615549442140349,1.0,20
ql_baseline,GridWorld,169,0.9239999999999998,0.009165151389911638,1.0,20
ql_baseline,GridWorld,170,0.9,0.11040833301884419,1.0,20
ql_baseline,GridWorld,171,0.9269999999999999,0.009539392014169435,1.0,20
ql_baseline,GridWorld,172,0.9244999999999999,0.010712142642814242,1.0,20
ql_baseline,GridWorld,173,0.9254999999999999,0.0080467384697155,1.0,20
ql_baseline,GridWorld,174,0.9259999999999999,0.010198039027185541,1.0,20
ql_baseline,GridWorld,175,0.9254999999999999,0.009733961166965862,1.0,20
ql_baseline,GridWorld,176,0.9275,0.006224949798994334,1.0,20
ql_baseline,GridWorld,177,0.8985000000000001,0.11064696109699534,1.0,20
ql_baseline,GridWorld,178,0.9259999999999999,0.00969535971483263,1.0,20
ql_baseline,GridWorld,179,0.9269999999999999,0.007141428428542817,1.0,20
ql_baseline,GridWorld,180,0.9259999999999999,0.00969535971483263,1.0,20
ql_baseline,GridWorld,181,0.9279999999999999,0.005099019513592752,1.0,20
ql_baseline,GridWorld,182,0.9244999999999999,0.009205976319760946,1.0,20
ql_baseline,GridWorld,183,0.9279999999999999,0.005099019513592753,1.0,20
ql_baseline,GridWorld,184,0.924,0.011135528725660008,1.0,20
ql_baseline,GridWorld,185,0.9269999999999999,0.009539392014169435,1.0,20
ql_baseline,GridWorld,186,0.9269999999999999,0.0071414284285428176,1.0,20
ql_baseline,GridWorld,187,0.9269999999999999,0.009539392014169434,1.0,20
ql_baseline,GridWorld,188,0.9235,0.011079259903080134,1.0,20
ql_baseline,GridWorld,189,0.901,0.11058480908334563,1.0,20
ql_baseline,GridWorld,190,0.8484999999999998,0.32790661780452074,1.0,20
ql_baseline,GridWorld,191,0.9279999999999999,0.0059999999999999715,1.0,20
ql_baseline,GridWorld,192,0.9025000000000001,0.11085463454452411,1.0,20
ql_baseline,GridWorld,193,0.8995000000000001,0.11047511031902163,1.0,20
ql_baseline,GridWorld,194,0.9034999999999999,0.10650234739197068,1.0,20
ql_baseline,GridWorld,195,0.9265000000000001,0.007262919523166938,1.0,20
ql_baseline,GridWorld,196,0.9279999999999999,0.0059999999999999715,1.0,20
ql_baseline,GridWorld,197,0.9029999999999999,0.11090987332063815,1.0,20
ql_baseline,GridWorld,198,0.9259999999999999,0.010198039027185541,1.0,20
ql_baseline,GridWorld,199,0.9015000000000001,0.11069214064241417,1.0,20
ql_arc,GridWorld,0,-4.3229999999999915,1.0090991031608332,0.3,20
ql_arc,GridWorld,1,0.14450000000000027,0.6908290309475981,0.95,20
ql_arc,GridWorld,2,0.2514999999999997,0.6734335527726548,0.9,20
ql_arc,GridWorld,3,0.2554999999999998,0.526787196123824,0.9,20
ql_arc,GridWorld,4,0.3464999999999998,0.5076640129061742,0.95,20
ql_arc,GridWorld,5,0.5019999999999999,0.30577115625905604,1.0,20
ql_arc,GridWorld,6,0.40249999999999986,0.3399099145361901,1.0,20
ql_arc,GridWorld,7,0.49149999999999994,0.345286475263657,1.0,20
ql_arc,GridWorld,8,0.6459999999999998,0.20756685669923325,1.0,20
ql_arc,GridWorld,9,0.6764999999999999,0.3436026047631188,1.0,20
ql_arc,GridWorld,10,0.6009999999999998,0.2913571691240839,1.0,20
ql_arc,GridWorld,11,0.6615,0.16959584310943485,1.0,20
ql_arc,GridWorld,12,0.7354999999999999,0.16359935818945015,1.0,20
ql_arc,GridWorld,13,0.763,0.14220056258679148,1.0,20
ql_arc,GridWorld,14,0.7949999999999999,0.12151131634543345,1.0,20
ql_arc,GridWorld,15,0.7235,0.2702087156255328,1.0,20
ql_arc,GridWorld,16,0.7184999999999999,0.22612551824152888,1.0,20
ql_arc,GridWorld,17,0.7725,0.11505976707781052,1.0,20
ql_arc,GridWorld,18,0.7569999999999999,0.2472670621008791,1.0,20
