agent,blocked_updates,env,episode,epsilon,eval_reward,eval_success_rate,mean_arousal,reached_goal,seed,steps,total_reward,trap_hits
ql_baseline,,GridWorld,97,0.0611873878428048,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,98,0.060881450903590775,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,99,0.06057704364907282,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,100,0.06027415843082746,0.9299999999999999,1.0,,True,0,10,0.91,0
ql_baseline,,GridWorld,101,0.05997278763867332,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,102,0.059672923700479955,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,103,0.05937455908197756,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,104,0.05907768628656767,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,105,0.05878229785513483,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,106,0.05848838636585915,,,,True,0,9,0.92,0
ql_baseline,,GridWorld,107,0.05819594443402985,,,,True,0,12,0.89,0
ql_baseline,,GridWorld,108,0.057904964711859706,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,109,0.05761543988830041,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,110,0.05732736268885891,0.9299999999999999,1.0,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,111,0.05704072587541461,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,112,0.05675552224603753,,,,True,0,12,0.89,0
ql_baseline,,GridWorld,113,0.05647174463480734,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,114,0.056189385911633305,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,115,0.05590843898207514,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,116,0.05562889678716477,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,117,0.055350752303228945,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,118,0.0550739985417128,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,119,0.05479862854900423,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,120,0.05452463540625921,0.9299999999999999,1.0,,True,0,8,0.9299999999999999,0
